ONS CHD LA Code,ONS SNAC LA Code,Local Authority,Cars,Motor cycles,Light goods,Heavy goods,Buses and coaches,Other vehicles,Total
E09000001,00AA,City of London,2.63,0.247,0.373,0.1,0.027,0.05,3.427
E09000002,00AB,Barking and Dagenham,57.111,2.062,5.755,0.926,0.226,0.645,66.725
E09000003,00AC,Barnet,136.341,4.811,8.051,0.506,0.682,1.191,151.582
E09000004,00AD,Bexley,101.148,4.694,9.47,1.225,0.811,1.783,119.131
E09000005,00AE,Brent,87.285,4.06,9.76,1.085,2.101,0.758,105.049
E09000006,00AF,Bromley,144.647,5.97,11.126,0.642,0.36,1.341,164.086
E09000007,00AG,Camden,48.37,3.152,4.436,0.556,0.181,0.572,57.267
E09000008,00AH,Croydon,132.894,5.374,10.475,0.478,0.369,0.8,150.39
E09000009,00AJ,Ealing,112.319,5.419,9.741,1.301,1.209,0.765,130.754
E09000010,00AK,Enfield,114.974,3.246,10.401,1.659,0.312,1.849,132.441
E09000011,00AL,Greenwich,72.708,3.488,5.387,0.612,0.231,0.821,83.247
E09000012,00AM,Hackney,39.105,2.963,3.273,0.164,0.327,0.635,46.467
E09000013,00AN,Hammersmith and Fulham,41.801,4.339,2.571,0.19,0.127,0.716,49.744
E09000014,00AP,Haringey,58.693,3.316,4.613,0.4,1.79,0.484,69.296
E09000015,00AQ,Harrow,97.091,2.064,5.677,0.463,0.324,1.208,106.827
E09000016,00AR,Havering,108.928,4.266,11.225,1.139,0.338,1.964,127.86
E09000017,00AS,Hillingdon,130.165,4.561,14.6,1.286,1.157,1.275,153.044
E09000018,00AT,Hounslow,92.489,4.179,7.553,1.908,0.442,1.104,107.675
E09000019,00AU,Islington,35.476,3.243,2.682,0.182,0.142,0.558,42.283
E09000020,00AW,Kensington and Chelsea,42.69,3.259,1.704,0.096,0.145,0.265,48.159
E09000021,00AX,Kingston upon Thames,64.101,3.409,5.222,0.153,0.212,0.662,73.759
E09000022,00AY,Lambeth,60.974,5.023,4.727,0.19,0.252,0.479,71.645
E09000023,00AZ,Lewisham,72.578,3.565,5.297,0.409,0.262,0.732,82.843
E09000024,00BA,Merton,70.224,3.705,5.98,0.63,2.505,0.824,83.868
E09000025,00BB,Newham,59.767,2.411,4.634,0.609,1.428,1.177,70.026
E09000026,00BC,Redbridge,100.655,2.865,6.715,0.311,0.34,1.303,112.189
E09000027,00BD,Richmond upon Thames,76.979,4.604,3.625,0.194,0.992,0.442,86.836
E09000028,00BE,Southwark,56.824,4.047,4.805,0.326,1.332,1.131,68.465
E09000029,00BF,Sutton,83.726,4.096,7.728,0.616,0.235,0.804,97.205
E09000030,00BG,Tower Hamlets,39.918,2.857,3.159,0.43,0.215,3.272,49.851
E09000031,00BH,Waltham Forest,73.993,3.164,6.424,0.54,0.284,0.81,85.215
E09000032,00BJ,Wandsworth,79.604,6.924,5.123,0.358,0.398,0.462,92.869
E09000033,00BK,Westminster,51.624,3.051,2.876,0.109,0.271,1.195,59.126
,,Local Authority unknown,1.443,0.532,0.389,0.038,0.031,0.157,2.59
,,,,,,,,,
E12000001,A,North East,1054.598,38.096,142.028,14.73,6.637,20.491,1276.58
E12000002,B,North West,3042.684,115.821,298.647,65.204,16.583,60.466,3599.405
E12000003,D,Yorkshire and the Humber,2260.502,98.19,248.002,42.357,12.5,59.714,2721.265
E12000004,E,East Midlands,2221.938,101.737,289.138,47.902,12.233,66.456,2739.404
E12000005,F,West Midlands,2805.731,101.232,383.251,58.2,15.317,59.369,3423.1
E12000006,G,East of England,3103.912,136.477,345.951,48.441,13.976,78.344,3727.101
E12000007,H,London,2549.275,124.966,205.577,19.831,20.058,32.234,2951.941
E12000008,J,South East,4770.606,207.831,540.019,61.953,21.711,73.27,5675.39
E12000009,K,South West,2872.774,147.679,403.643,44.786,18.195,91.04,3578.117
E92000001,921,England,24682.02,1072.029,2856.256,403.404,137.21,541.384,29692.303
W92000004,924,Wales,1460.234,54.674,179.048,20.978,9.813,49.708,1774.455
S92000003,923,Scotland,2319.169,65.966,247.429,35.714,15.268,75.691,2759.237
,,Vehicle under disposal,677.441,25.872,70.356,8.699,2.131,19.351,803.85
,,Region/County unknown,2.073,0.858,0.805,0.081,0.039,0.786,4.642
K03000001,925,Great Britain,29140.937,1219.399,3353.894,468.876,164.461,686.92,35034.487
