ONS CHD LA Code,ONS SNAC LA Code,Local Authority,Cars,Motor cycles,Light goods,Heavy goods,Buses and coaches,Other vehicles,Total
E09000001,00AA,City of London,2.393,0.121,0.385,0.04,0.018,0.057,3.014
E09000002,00AB,Barking and Dagenham,64.869,1.755,5.946,0.848,0.181,0.853,74.452
E09000003,00AC,Barnet,143.155,4.385,8.62,0.526,0.442,1.557,158.685
E09000004,00AD,Bexley,106.628,4.009,9.527,1.281,1.146,1.463,124.054
E09000005,00AE,Brent,92.183,4.89,8.583,1.208,2.097,0.842,109.803
E09000006,00AF,Bromley,148.462,5.586,11.999,0.686,0.325,1.094,168.152
E09000007,00AG,Camden,41.394,2.353,3.468,0.299,0.088,0.568,48.17
E09000008,00AH,Croydon,141.122,5.329,11.748,0.48,0.282,0.746,159.707
E09000009,00AJ,Ealing,116.969,4.991,10.559,1.195,0.599,0.651,134.964
E09000010,00AK,Enfield,120.019,3.093,11.049,2.286,0.26,4.344,141.051
E09000011,00AL,Greenwich,78.636,3.095,5.671,0.543,0.279,0.748,88.972
E09000012,00AM,Hackney,41.315,2.723,3.374,0.23,0.48,0.46,48.582
E09000013,00AN,Hammersmith and Fulham,43.524,3.556,2.379,0.168,0.103,0.647,50.377
E09000014,00AP,Haringey,61.834,3.443,4.878,0.386,1.92,0.382,72.843
E09000015,00AQ,Harrow,100.481,2.103,5.873,0.345,0.359,0.929,110.09
E09000016,00AR,Havering,115.361,3.521,12.111,1.498,0.286,1.507,134.284
E09000017,00AS,Hillingdon,141.665,4.103,16.151,1.466,0.57,1.311,165.266
E09000018,00AT,Hounslow,97.535,3.97,8.31,1.322,0.467,1.04,112.644
E09000019,00AU,Islington,35.536,2.67,2.781,0.23,0.161,0.695,42.073
E09000020,00AW,Kensington and Chelsea,40.806,2.288,1.558,0.057,0.093,0.365,45.167
E09000021,00AX,Kingston upon Thames,66.239,3.162,5.578,0.182,0.197,0.533,75.891
E09000022,00AY,Lambeth,63.007,4.496,4.458,0.154,0.142,0.532,72.789
E09000023,00AZ,Lewisham,76.392,3.502,5.354,0.271,0.227,0.582,86.328
E09000024,00BA,Merton,70.113,3.567,6.052,0.814,2.733,2.456,85.735
E09000025,00BB,Newham,70.338,2.628,5.419,0.656,1.33,1.347,81.718
E09000026,00BC,Redbridge,105.629,2.46,6.794,0.346,0.26,0.817,116.306
E09000027,00BD,Richmond upon Thames,77.021,3.849,3.926,0.147,1.121,0.429,86.493
E09000028,00BE,Southwark,57.378,3.893,4.087,0.252,1.366,0.917,67.893
E09000029,00BF,Sutton,87.727,3.756,8.308,0.467,0.276,0.74,101.274
E09000030,00BG,Tower Hamlets,44.581,2.869,3.001,0.243,0.1,2.937,53.731
E09000031,00BH,Waltham Forest,78.237,2.942,6.235,0.514,0.224,0.708,88.86
E09000032,00BJ,Wandsworth,78.995,5.695,5.356,0.448,0.312,0.516,91.322
E09000033,00BK,Westminster,50.334,2.391,3.229,0.132,0.583,1.457,58.126
,,Local Authority unknown,1.148,0.506,0.325,0.016,0.026,0.151,2.172
E13000001,1B,Inner London,707.827,42.628,49.727,3.566,6.923,11.462,822.133
E13000002,1C,Outer London,1952.051,70.566,163.04,16.154,12.104,22.768,2236.683
,,,,,,,,,
E12000001,A,North East,1153.151,39.459,164.601,15.199,5.879,22.406,1400.695
E12000002,B,North West,3318.734,117.889,362.365,65.996,15.243,65.528,3945.755
E12000003,D,Yorkshire and the Humber,2546.833,100.609,304.771,52.016,11.332,67.074,3082.635
E12000004,E,East Midlands,2458.679,107.834,355.171,53.562,9.818,72.654,3057.718
E12000005,F,West Midlands,3067.728,104.053,450.868,61.164,13.256,65.713,3762.782
E12000006,G,East of England,3402.939,141.899,431.669,50.613,11.914,82.299,4121.333
E12000007,H,London,2661.026,113.7,213.092,19.736,19.053,34.381,3060.988
E12000008,J,South East,5248.508,221.877,698.654,72.079,21.355,81.903,6344.376
E12000009,K,South West,3288.523,157.115,540.787,44.62,19.382,114.967,4165.394
E92000001,921,England,27146.121,1104.435,3521.978,434.985,127.232,606.925,32941.676
W92000004,924,Wales,1583.527,60.245,221.777,22.451,9.068,59.237,1956.305
S92000003,923,Scotland,2524.477,71.666,307.567,36.837,14.154,86.078,3040.779
N92000002,,Northern Ireland,982.628,23.02,122.109,24.158,5.461,35.745,1193.121
,,Vehicle under disposal (GB) 2,645.966,13.27,72.23,7.277,1.503,14.559,754.805
,,Region/County unknown (GB) 3,1.601,0.743,0.687,0.045,0.049,0.651,3.776
K03000001,925,Great Britain,31888.448,1250.209,4123.255,501.477,151.974,767.356,38682.719
K02000001,926,United Kingdom,32884.32,1273.379,4246.348,525.753,157.467,803.195,39890.462
