ONS CHD LA Code,ONS SNAC LA Code,Local Authority,Cars,Motor cycles,Light goods,Heavy goods,Buses and coaches,Other vehicles,Total
E09000001,00AA,City of London,2.932,0.284,0.315,0.152,0.028,0.091,3.802
E09000002,00AB,Barking and Dagenham,55.815,2.094,5.512,0.986,0.213,0.658,65.278
E09000003,00AC,Barnet,136,4.603,7.949,0.461,0.688,1.211,150.912
E09000004,00AD,Bexley,99.376,4.781,9.503,1.178,0.673,1.796,117.307
E09000005,00AE,Brent,87.927,3.938,9.104,1.089,1.647,0.637,104.342
E09000006,00AF,Bromley,142.278,6.243,10.89,0.636,0.359,1.364,161.77
E09000007,00AG,Camden,49.151,3.208,4.369,0.579,0.25,0.564,58.121
E09000008,00AH,Croydon,130.857,5.217,10.062,0.463,0.369,0.767,147.735
E09000009,00AJ,Ealing,112.394,5.259,9.502,1.243,0.756,0.743,129.897
E09000010,00AK,Enfield,114.476,3.301,10.107,1.686,0.323,1.619,131.512
E09000011,00AL,Greenwich,72.197,3.385,5.594,0.613,0.244,0.779,82.812
E09000012,00AM,Hackney,40.108,3.102,3.534,0.158,0.35,0.906,48.158
E09000013,00AN,Hammersmith and Fulham,42.602,4.612,2.65,0.251,0.152,0.493,50.76
E09000014,00AP,Haringey,60.321,3.33,4.809,0.44,1.914,0.479,71.293
E09000015,00AQ,Harrow,96.316,2.1,5.893,0.395,0.337,1.024,106.065
E09000016,00AR,Havering,106.81,4.135,11.034,1.112,0.324,1.923,125.338
E09000017,00AS,Hillingdon,126.549,4.347,14.535,1.285,0.977,1.396,149.089
E09000018,00AT,Hounslow,91.323,4.012,7.553,1.828,0.45,1.031,106.197
E09000019,00AU,Islington,36.381,3.208,2.705,0.192,0.149,0.683,43.318
E09000020,00AW,Kensington and Chelsea,44.149,3.537,1.748,0.089,0.15,0.217,49.89
E09000021,00AX,Kingston upon Thames,63.51,3.385,5.632,0.281,0.219,0.582,73.609
E09000022,00AY,Lambeth,61.462,5.198,4.748,0.215,0.28,0.44,72.343
E09000023,00AZ,Lewisham,72.233,3.668,5.534,0.433,0.273,0.661,82.802
E09000024,00BA,Merton,69.401,3.633,5.774,0.577,1.96,0.797,82.142
E09000025,00BB,Newham,61.135,2.27,5.073,0.579,1.506,1.477,72.04
E09000026,00BC,Redbridge,99.486,2.865,6.741,0.324,0.373,1.223,111.012
E09000027,00BD,Richmond upon Thames,76.633,4.676,3.663,0.189,1.181,0.406,86.748
E09000028,00BE,Southwark,57.78,4.109,5.114,0.341,1.07,1.114,69.528
E09000029,00BF,Sutton,82.501,4.065,7.39,0.544,0.227,0.753,95.48
E09000030,00BG,Tower Hamlets,40.054,2.749,3.203,0.415,0.234,2.361,49.016
E09000031,00BH,Waltham Forest,74.083,3.017,6.514,0.485,0.297,0.979,85.375
E09000032,00BJ,Wandsworth,81.542,7.288,5.02,0.35,0.447,0.391,95.038
E09000033,00BK,Westminster,53.366,3.27,2.903,0.151,0.33,0.984,61.004
,,Local Authority unknown,1.586,0.565,0.508,0.052,0.042,0.181,2.934
,,,,,,,,,
E12000001,A,North East,1040.093,39.444,139.974,15.271,7.057,19.469,1261.308
E12000002,B,North West,3006.498,117.258,294.55,61.112,17.097,56.98,3553.495
E12000003,D,Yorkshire and the Humber,2248.944,100.366,244.315,46.063,12.733,55.434,2707.855
E12000004,E,East Midlands,2166.482,104.437,270.921,46.704,12.594,62.193,2663.331
E12000005,F,West Midlands,2823.847,103.776,387.804,58.663,15.712,55.096,3444.898
E12000006,G,East of England,2944.286,140.105,328.264,48.275,14.107,72.902,3547.939
E12000007,H,London,2542.734,125.454,205.185,19.772,18.792,30.73,2942.667
E12000008,J,South East,4605.886,209.731,515.378,59.245,23.889,67.258,5481.387
E12000009,K,South West,2789.068,150.815,379.446,44.293,17.371,85.342,3466.335
E92000001,921,England,24167.838,1091.386,2765.837,399.398,139.352,505.404,29069.215
W92000004,924,Wales,1437.547,55.146,172.215,20.95,10.281,46.226,1742.365
S92000003,923,Scotland,2264.384,66.222,237.57,35.624,15.9,71.207,2690.907
,,Vehicle under disposal,594.92,24.651,71.741,9.404,2.487,17.454,720.657
,,Region / country unknown,2.6,0.916,0.93,0.097,0.042,0.865,5.45
K03000001,925,Great Britain,28467.289,1238.321,3248.293,465.473,168.062,641.156,34228.594
