ONS CHD LA Code,ONS SNAC LA Code,Local Authority,Cars,Motor cycles,Light goods,Heavy goods,Buses and coaches,Other vehicles,Total
E09000001,00AA,City of London,2.568,0.117,0.389,0.095,0.024,0.057,3.25
E09000002,00AB,Barking and Dagenham,61.497,2.164,6.066,1.023,0.203,0.607,71.56
E09000003,00AC,Barnet,140.154,4.889,8.619,0.521,0.71,1.351,156.244
E09000004,00AD,Bexley,104.36,4.54,9.751,1.308,1.038,1.639,122.636
E09000005,00AE,Brent,91.26,4.41,11.123,1.158,2.217,0.746,110.914
E09000006,00AF,Bromley,147.812,6.106,11.533,0.659,0.364,1.287,167.761
E09000007,00AG,Camden,48.063,3.116,4.442,0.452,0.19,0.567,56.83
E09000008,00AH,Croydon,138.642,5.509,11.298,0.543,0.35,0.871,157.213
E09000009,00AJ,Ealing,116.985,5.799,10.457,1.265,1.233,0.809,136.548
E09000010,00AK,Enfield,118.842,3.369,10.913,1.856,0.28,2.035,137.295
E09000011,00AL,Greenwich,76.451,3.549,5.653,0.643,0.242,0.861,87.399
E09000012,00AM,Hackney,41.365,3.045,3.278,0.17,0.314,0.553,48.725
E09000013,00AN,Hammersmith and Fulham,42.631,4.177,2.581,0.231,0.149,0.825,50.594
E09000014,00AP,Haringey,61.102,3.403,4.873,0.341,1.655,0.516,71.89
E09000015,00AQ,Harrow,100.091,2.111,5.904,0.691,0.339,1.145,110.281
E09000016,00AR,Havering,113.863,4.13,11.912,1.436,0.343,2.033,133.717
E09000017,00AS,Hillingdon,136.355,4.531,15.992,1.276,0.852,1.315,160.321
E09000018,00AT,Hounslow,95.708,4.203,7.8,1.752,0.486,1.145,111.094
E09000019,00AU,Islington,36.556,3.168,2.913,0.209,0.152,0.696,43.694
E09000020,00AW,Kensington and Chelsea,42.145,2.942,1.874,0.097,0.1,0.324,47.482
E09000021,00AX,Kingston upon Thames,65.371,3.409,5.841,0.144,0.204,0.62,75.589
E09000022,00AY,Lambeth,63.649,5.006,4.87,0.178,0.264,0.513,74.48
E09000023,00AZ,Lewisham,75.641,3.641,5.445,0.398,0.265,0.664,86.054
E09000024,00BA,Merton,72.203,3.736,6.231,0.737,2.749,0.904,86.56
E09000025,00BB,Newham,65.36,2.742,4.876,0.656,1.544,1.343,76.521
E09000026,00BC,Redbridge,104.299,2.808,6.88,0.322,0.323,1.266,115.898
E09000027,00BD,Richmond upon Thames,77.273,4.237,3.831,0.169,1.025,0.467,87.002
E09000028,00BE,Southwark,57.6,4.044,4.822,0.281,1.443,1.193,69.383
E09000029,00BF,Sutton,86.066,4.102,8.293,0.505,0.247,0.821,100.034
E09000030,00BG,Tower Hamlets,42.514,2.781,3.248,0.397,0.213,3.147,52.3
E09000031,00BH,Waltham Forest,77.403,3.246,6.59,0.581,0.248,0.803,88.871
E09000032,00BJ,Wandsworth,80.201,6.686,5.344,0.37,0.407,0.507,93.515
E09000033,00BK,Westminster,50.557,2.956,2.976,0.107,0.283,1.323,58.202
,,Local Authority unknown,1.297,0.534,0.337,0.032,0.037,0.153,2.39
E13000001,1B,Inner London,709.952,47.824,51.931,3.982,7.003,12.228,832.92
E13000002,1C,Outer London,1924.635,76.848,164.687,16.589,13.453,20.725,2216.937
,,,,,,,,,
E12000001,A,North East,1089.695,39.282,150.388,15.491,6.509,21.425,1322.79
E12000002,B,North West,3141.547,117.675,321.419,65.938,16.252,62.696,3725.527
E12000003,D,Yorkshire and the Humber,2348.016,99.555,263.835,44.541,12.32,62.653,2830.92
E12000004,E,East Midlands,2314.9,104.515,311.987,48.449,11.414,67.953,2859.218
E12000005,F,West Midlands,2938.31,104.623,410.211,59.822,14.404,62.302,3589.672
E12000006,G,East of England,3263.223,139.204,379.656,49.089,13.973,81.416,3926.561
E12000007,H,London,2635.884,125.206,216.955,20.603,20.493,33.106,3052.247
E12000008,J,South East,4973.912,212.174,610.935,67.991,22.123,76.848,5963.983
E12000009,K,South West,3025.068,150.046,441.134,46.251,18.891,95.038,3776.428
E92000001,921,England,25732.591,1093.108,3107.371,418.265,136.442,564.181,31051.958
W92000004,924,Wales,1503.871,56.039,192.261,21.382,9.612,52.563,1835.728
S92000003,923,Scotland,2394.195,68.374,269.185,36.986,15.177,78.84,2862.757
N92000002,,Northern Ireland,904.243,22.149,101.386,22.722,5.503,29.473,1085.476
,,Vehicle under disposal (GB) 2,635.801,13.41,65.833,6.856,1.486,11.264,734.65
,,Region/County unknown (GB) 3,2.036,0.828,0.851,0.09,0.063,0.744,4.612
K03000001,925,Great Britain,30250.294,1230.779,3633.578,483.361,162.696,706.779,36467.487
K02000001,926,United Kingdom,31170.701,1253.08,3736.036,506.211,168.22,736.321,37570.569
