ONS CHD LA Code,ONS SNAC LA Code,Local Authority,Cars,Motor cycles,Light goods,Heavy goods,Buses and coaches,Other vehicles,Total
E09000001,00AA,City of London,2.467,0.121,0.419,0.047,0.027,0.056,3.137
E09000002,00AB,Barking and Dagenham,63.081,1.964,6.136,1.003,0.186,0.818,73.188
E09000003,00AC,Barnet,142.346,4.64,8.921,0.551,0.625,1.501,158.584
E09000004,00AD,Bexley,105.953,4.32,10.033,1.399,1.098,1.536,124.339
E09000005,00AE,Brent,92.459,4.793,8.961,1.235,2.248,0.866,110.562
E09000006,00AF,Bromley,149.173,5.892,11.866,0.635,0.354,1.225,169.145
E09000007,00AG,Camden,46.14,2.685,4.402,0.395,0.169,0.591,54.382
E09000008,00AH,Croydon,140.656,5.324,11.812,0.555,0.33,0.854,159.531
E09000009,00AJ,Ealing,117.16,5.119,10.737,1.246,0.725,0.656,135.643
E09000010,00AK,Enfield,120.124,3.252,11.166,1.823,0.27,4.392,141.027
E09000011,00AL,Greenwich,78.077,3.322,5.847,0.596,0.243,0.934,89.019
E09000012,00AM,Hackney,41.699,2.948,3.461,0.199,0.432,0.5,49.239
E09000013,00AN,Hammersmith and Fulham,43.083,3.958,2.452,0.211,0.109,0.668,50.481
E09000014,00AP,Haringey,62.055,3.387,5.218,0.366,1.969,0.513,73.508
E09000015,00AQ,Harrow,100.663,2.354,6.073,0.607,0.353,1.036,111.086
E09000016,00AR,Havering,115.199,3.774,12.425,1.514,0.314,1.893,135.119
E09000017,00AS,Hillingdon,136.829,4.287,15.359,1.278,0.546,1.347,159.646
E09000018,00AT,Hounslow,97.095,4.103,8.21,1.29,0.507,1.066,112.271
E09000019,00AU,Islington,35.894,3.016,2.844,0.247,0.144,0.742,42.887
E09000020,00AW,Kensington and Chelsea,41.528,2.605,1.851,0.078,0.102,0.389,46.553
E09000021,00AX,Kingston upon Thames,66.126,3.287,5.734,0.164,0.205,0.596,76.112
E09000022,00AY,Lambeth,64.532,4.96,5.032,0.169,0.231,0.626,75.55
E09000023,00AZ,Lewisham,77.287,3.703,5.608,0.287,0.251,0.661,87.797
E09000024,00BA,Merton,72.299,3.569,6.412,0.815,2.822,2.475,88.392
E09000025,00BB,Newham,69.977,2.629,5.153,0.678,1.444,1.362,81.243
E09000026,00BC,Redbridge,105.414,2.589,7.14,0.323,0.295,1.008,116.769
E09000027,00BD,Richmond upon Thames,77.639,3.997,4.035,0.152,1.125,0.445,87.393
E09000028,00BE,Southwark,57.719,3.98,4.677,0.271,1.418,1.227,69.292
E09000029,00BF,Sutton,87.294,3.929,8.421,0.467,0.254,0.796,101.161
E09000030,00BG,Tower Hamlets,44.138,2.863,3.162,0.296,0.204,3.095,53.758
E09000031,00BH,Waltham Forest,78.84,3.108,6.661,0.554,0.252,0.805,90.22
E09000032,00BJ,Wandsworth,80.195,6.087,5.569,0.464,0.372,0.554,93.241
E09000033,00BK,Westminster,51.427,2.737,3.275,0.125,0.661,1.503,59.728
,,Local Authority unknown,1.33,0.53,0.343,0.027,0.036,0.161,2.427
E13000001,1B,Inner London,718.141,45.679,53.123,3.833,7.533,12.487,840.796
E13000002,1C,Outer London,1946.427,73.623,165.949,16.207,12.752,24.249,2239.207
,,,,,,,,,
E12000001,A,North East,1119.685,39.213,156.083,15.754,6.298,22.564,1359.597
E12000002,B,North West,3214.835,116.85,338.995,66.888,15.81,64.457,3817.835
E12000003,D,Yorkshire and the Humber,2450.589,100.027,280.143,49.023,11.882,65.835,2957.499
E12000004,E,East Midlands,2389.519,104.867,331.534,50.592,10.451,71.083,2958.046
E12000005,F,West Midlands,3063.38,104.454,455.293,61.02,13.744,65.948,3763.839
E12000006,G,East of England,3365.637,139.021,410.074,50.346,12.686,82.096,4059.86
E12000007,H,London,2665.898,119.832,219.415,20.067,20.321,36.897,3082.43
E12000008,J,South East,5149.725,215.973,650.041,70.163,21.843,80.456,6188.201
E12000009,K,South West,3156.079,152.383,488.256,48.052,19.858,101.236,3965.864
E92000001,921,England,26575.347,1092.62,3329.834,431.905,132.893,590.572,32153.171
W92000004,924,Wales,1542.05,57.248,205.088,21.991,9.227,55.507,1891.111
S92000003,923,Scotland,2462.378,69.759,293.591,38.223,14.667,82.981,2961.599
N92000002,,Northern Ireland,944.277,22.107,112.153,23.854,5.574,33.455,1141.42
,,Vehicle under disposal (GB) 2,631.803,13.293,69.634,7.284,1.597,15.61,739.221
,,Region/County unknown (GB) 3,4.088,0.833,1.022,0.079,0.068,0.715,6.805
K03000001,925,Great Britain,31200.182,1233.59,3898.149,499.353,158.432,745.286,37734.992
K02000001,926,United Kingdom,32159.943,1255.86,4011.322,523.336,164.026,778.84,38893.327
