ONS CHD LA Code,ONS SNAC LA Code,Local Authority,Cars,Motor cycles,Light goods,Heavy goods,Buses and coaches,Other vehicles,Total
E09000001,00AA,City of London,2.608,0.117,0.492,0.092,0.028,0.052,3.389
E09000002,00AB,Barking and Dagenham,62.903,2.145,6.162,1.045,0.19,0.619,73.064
E09000003,00AC,Barnet,142.126,4.861,8.964,0.582,0.672,1.596,158.801
E09000004,00AD,Bexley,105.759,4.482,9.863,1.28,1.092,1.529,124.005
E09000005,00AE,Brent,93.132,4.709,11.162,1.196,2.21,0.756,113.165
E09000006,00AF,Bromley,149.302,6.069,11.888,0.667,0.357,1.234,169.517
E09000007,00AG,Camden,47.808,2.857,4.436,0.422,0.191,0.594,56.308
E09000008,00AH,Croydon,140.772,5.447,11.772,0.611,0.349,0.841,159.792
E09000009,00AJ,Ealing,117.811,5.26,10.827,1.216,1.197,0.611,136.922
E09000010,00AK,Enfield,120.393,3.365,11.15,2.025,0.281,4.329,141.543
E09000011,00AL,Greenwich,77.768,3.553,5.813,0.742,0.239,0.933,89.048
E09000012,00AM,Hackney,41.897,3.196,3.283,0.18,0.381,0.514,49.451
E09000013,00AN,Hammersmith and Fulham,42.923,4.125,2.602,0.213,0.116,0.643,50.622
E09000014,00AP,Haringey,62.099,3.491,5.123,0.365,1.984,0.549,73.611
E09000015,00AQ,Harrow,100.962,2.293,6.018,0.705,0.377,1.107,111.462
E09000016,00AR,Havering,115.418,4.055,12.263,1.526,0.32,1.957,135.539
E09000017,00AS,Hillingdon,136.842,4.565,15.24,1.272,0.706,1.279,159.904
E09000018,00AT,Hounslow,96.898,4.243,8.019,1.593,0.474,1.072,112.299
E09000019,00AU,Islington,36.529,3.178,2.842,0.219,0.146,0.727,43.641
E09000020,00AW,Kensington and Chelsea,41.924,2.811,1.822,0.087,0.104,0.351,47.099
E09000021,00AX,Kingston upon Thames,66.142,3.391,5.799,0.153,0.21,0.61,76.305
E09000022,00AY,Lambeth,64.641,5.125,5.024,0.197,0.232,0.581,75.8
E09000023,00AZ,Lewisham,77.142,3.814,5.587,0.331,0.261,0.687,87.822
E09000024,00BA,Merton,73.833,3.724,6.515,0.818,2.894,1.425,89.209
E09000025,00BB,Newham,67.815,2.811,5.044,0.692,1.52,1.26,79.142
E09000026,00BC,Redbridge,105.66,2.821,7.038,0.328,0.322,1.167,117.336
E09000027,00BD,Richmond upon Thames,77.532,4.294,3.944,0.174,1.078,0.483,87.505
E09000028,00BE,Southwark,57.868,4.072,4.843,0.265,1.508,1.221,69.777
E09000029,00BF,Sutton,87.061,4.074,8.39,0.476,0.254,0.805,101.06
E09000030,00BG,Tower Hamlets,43.566,2.942,3.212,0.366,0.217,3.128,53.431
E09000031,00BH,Waltham Forest,78.868,3.266,6.834,0.607,0.244,0.787,90.606
E09000032,00BJ,Wandsworth,80.369,6.609,5.423,0.386,0.368,0.546,93.701
E09000033,00BK,Westminster,50.49,2.93,2.907,0.135,0.257,1.404,58.123
,,Local Authority unknown,1.3,0.528,0.355,0.029,0.033,0.149,2.394
E13000001,1B,Inner London,717.679,48.078,52.64,3.95,7.313,12.257,841.917
E13000002,1C,Outer London,1949.182,76.617,167.661,17.016,13.466,23.14,2247.082
,,,,,,,,,
E12000001,A,North East,1106.796,39.81,152.616,15.68,6.434,21.988,1343.324
E12000002,B,North West,3171.914,119.403,330.119,67.375,16.138,63.965,3768.914
E12000003,D,Yorkshire and the Humber,2410.877,100.72,273.08,46.634,12.191,64.232,2907.734
E12000004,E,East Midlands,2358.863,106.068,321.322,49.577,10.804,69.062,2915.696
E12000005,F,West Midlands,3017.939,106.201,436.489,60.112,14.292,63.559,3698.592
E12000006,G,East of England,3342.4,140.839,397.299,49.91,13.596,80.665,4024.709
E12000007,H,London,2668.161,125.223,220.656,20.995,20.812,35.546,3091.393
E12000008,J,South East,5107.336,216.649,637.565,69.096,22.468,78.413,6131.527
E12000009,K,South West,3099.012,152.413,465.057,47.67,19.018,97.946,3881.116
E92000001,921,England,26283.298,1107.326,3234.203,427.049,135.753,575.376,31763.005
W92000004,924,Wales,1527.081,57.414,199.109,21.612,9.222,53.827,1868.265
S92000003,923,Scotland,2433.096,69.75,282.589,38.05,14.918,80.448,2918.851
N92000002,,Northern Ireland,927.527,21.98,106.763,23.395,5.536,30.622,1115.823
,,Vehicle under disposal (GB) 2,618.414,12.924,65.987,6.96,1.559,10.859,716.703
,,Region/County unknown (GB) 3,2.843,0.822,1.03,0.078,0.068,0.726,5.567
K03000001,925,Great Britain,30850.44,1248.074,3781.984,493.638,161.5,721.167,37256.803
K02000001,926,United Kingdom,31792.259,1270.216,3889.681,517.144,167.056,751.858,38388.214
